¤u¼t¦WºÙ,¤u¼tµn°O½s¸¹,¤u¼t³]¥ß³\¥i®×¸¹,¤u¼t¦a§},¤u¼t¥«Âí¶m§ø¨½,¤u¼t­t³d¤H©m¦W,²Î¤@½s¸¹,¤u¼t²ÕÂ´«¬ºA,¤u¼t³]¥ß®Ö­ã¤é´Á,¤u¼tµn°O®Ö­ã¤é´Á,¤u¼tµn°Oª¬ºA,²£·~Ãþ§O,¥D­n²£«~
±Ò»Ï¤u·~ªÑ¥÷¦³­­¤½¥q,S0701340,,¹ü¤Æ¿¤¥_¤æÂí¤¤¼d¨½¤T¸¹¸ô187¸¹,¹ü¤Æ¿¤¥_¤æÂí¤¤¼d¨½,³\¤åÅS,84847950,ªÑ¥÷¦³­­¤½¥q,,1091012,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
«a§Q¦³­­¤½¥q·sÀç¼t,S6700537,,»O«n¥«·sÀç°Ï¤Ó¥_¨½¤Ó¤l®c44¤§58¸¹,»O«n¥«·sÀç°Ï¤Ó¥_¨½,ªL­»§u,16393749,¦³­­¤½¥q,,1090923,¥Í²£¤¤,08­¹«~»s³y·~,083½­ªG¥[¤u
¸Û®õ°ê»Ú­¹«~¦³­­¤½¥q,68003365,,®ç¶é¥«Äª¦Ë°Ï¤º­í¨½4¾F¦w¤¤µó12«Ñ7¸¹(2¡B3¡B4¼Ó),®ç¶é¥«Äª¦Ë°Ï¤º­í¨½,À¹¶¶©~,54277708,¦³­­¤½¥q,,1090429,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
»·³q®ð±Kµ¡¦³­­¤½¥qÄª¦Ë¼t,99686259,8.11E+12,®ç¶é¥«Äª¦Ë°Ï®ü´ò¨½®ü¤s¦è¸ô¤@¤§¤@¸¹,®ç¶é¥«Äª¦Ë°Ï®ü´ò¨½,½²©yã¸,27811220,ªÑ¥÷¦³­­¤½¥q,811006,811016,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
¸Û«~¬ì§Þ¹ê·~¦³­­¤½¥q,66007609,,»O¤¤¥«¯«©£°ÏÂ×¬w¨½Â×¤u«n¸ô26¸¹2¼Ó,»O¤¤¥«¯«©£°ÏÂ×¬w¨½,±i­õ¸Û,82874500,¦³­­¤½¥q,,1080723,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¸­¸q¿³¥ø·~ªÑ¥÷¦³­­¤½¥q,99675872,,¹Å¸q¿¤¦Ë±T¶mÆW¾ô§ø¤U­í§|¢°¢¯¸¹,¹Å¸q¿¤¦Ë±T¶mÆW¾ô§ø,¤ý²Q®V,27462530,ªÑ¥÷¦³­­¤½¥q,,931203,¥Í²£¤¤,33¨ä¥L»s³y·~,339¥¼¤ÀÃþ¨ä¥L»s«~
³s¤AÅ±³yªÑ¥÷¦³­­¤½¥q¤G¼t,99704438,,»O¤¤¥«¤j¥Ò°Ï¤é«n¨½¤u¤@¸ô¢²¢²¸¹,»O¤¤¥«¤j¥Ò°Ï¤é«n¨½,¾G©ú¹ü,23875139,ªÑ¥÷¦³­­¤½¥q,,960830,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
¤@¨ó­ZÅKºô¦³­­¤½¥q,S6600302,,»O¤¤¥«¼æ¤l°Ï¤j´I¨½1¾F¥Á±Ú¸ô¤G¬q301«Ñ1-13¸¹,»O¤¤¥«¼æ¤l°Ï¤j´I¨½,½²´I¦À,97037550,¦³­­¤½¥q,,1090624,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
»O¤¤¥«¼æ¤l°Ï¹A·|½V¦Ì¼t,S6600250,,»O¤¤¥«¼æ¤l°ÏªFÄ_¨½¶®¼æ¸ô¤G¬q382¸¹,»O¤¤¥«¼æ¤l°ÏªFÄ_¨½,ªL²Q¯ô,55359305,¹A·|²ÕÂ´,,1090624,¥Í²£¤¤,08­¹«~»s³y·~,086½VâB¡B¿i¯»¤Î¾ý¯»»s«~
Àsºs¥ø·~¦³­­¤½¥q,S0701090,,¹ü¤Æ¿¤¨q¤ô¶m¦w·Ë§ø¦w·Ëµó112«Ñ46¡B46-1¸¹,¹ü¤Æ¿¤¨q¤ô¶m¦w·Ë§ø,±ç¥@©÷,59361459,¦³­­¤½¥q,,1090814,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
­«·s¶Ë´Ý¥Î¨ã»s³y¼t¦³­­¤½¥q,99611755,5.81E+12,·s¥_¥«·s²ø°Ï¿³º~¨½¤¤¥¿¸ô227¸¹,·s¥_¥«·s²ø°Ï¿³º~¨½,©P±i¤ë©f,35304303,¦³­­¤½¥q,580101,590430,¥Í²£¤¤,33¨ä¥L»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~
¤¶¶©¿³¾¦½üªÑ¥÷¦³­­¤½¥q±ê©x¼t,99662374,8.11001E+12,°ª¶¯¥«±ê©x°Ï±ê¥­¨½©M¥­¸ô¢°¢³¢´¤§¢±¢¯¸¹,°ª¶¯¥«±ê©x°Ï±ê¥­¨½,¼B¤j±l,86909065,ªÑ¥÷¦³­­¤½¥q,810810,830503,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó
¦w®õ¨T¨®¿³·~ªÑ¥÷¦³­­¤½¥q,99688436,,®ç¶é¥«Äª¦Ë°Ï¤º­í¨½ªø¿³¸ô¢²¬q¢±¢¶¢¶«Ñ¢´¸¹,®ç¶é¥«Äª¦Ë°Ï¤º­í¨½,­S¬x´ä,23385674,ªÑ¥÷¦³­­¤½¥q,,940623,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~,303¨T¨®¹s¥ó
§¡½n¬ì§Þ¦³­­¤½¥q,67002648,,»O«n¥«¤¯¼w°Ï¤Ó¤l¨½¤Ó¤l¸ô689«Ñ28¸¹,»O«n¥«¤¯¼w°Ï¤Ó¤l¨½,¥ÕµMÀà,53029738,¦³­­¤½¥q,,1090323,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
«T³Í¬ì§Þ¦³­­¤½¥q,67000868,,»O«n¥«¥Ã±d°Ï?¬w¨½¥¿«n¤Gµó87¸¹,»O«n¥«¥Ã±d°Ï?¬w¨½,¤ý¥É¤s,54555054,¦³­­¤½¥q,,1030422,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
¤¸¸Î³³²¡¤u·~ªÀ,99617631,8.11E+12,·s¥_¥«Åaºq°Ï»ñ²»¨½¼w©÷µó146¸¹,·s¥_¥«Åaºq°Ï»ñ²»¨½,³\¹ÚÓ×,1910745,¿W¸ê,810504,810523,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,232­@¤õ¡BÂH¤g«Ø§÷¤Î¨ä¥L³³²¡»s«~
®õÀBª÷ÄÝ¤uµ{¦³­­¤½¥q­b¸Ì¼t,5000456,,­]®ß¿¤­b¸ÌÂíªÀ­d¨½¤T¾FªÀ­d¤T¤»¤§¤C¸¹,­]®ß¿¤­b¸ÌÂíªÀ­d¨½,±i¸ÖÀW,53998480,¦³­­¤½¥q,,1071008,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
Á`¬Õ¨T¨®ªÑ¥÷¦³­­¤½¥q¤@¼t,67002454,,»O«n¥«¥Ã±d°Ï¤T¥Á¨½©M¥­ªF¸ô48¸¹B´É,»O«n¥«¥Ã±d°Ï¤T¥Á¨½,§f¤å·ç,80475653,ªÑ¥÷¦³­­¤½¥q,,1080724,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,289¨ä¥L¹q¤O³]³Æ¤Î°t³Æ
§Q§»¿³·~¦³­­¤½¥q,65008520,,·s¥_¥«·s²ø°Ï°ê®õ¨½·s¾ð¸ô69¤§13¸¹1¼Ó,·s¥_¥«·s²ø°Ï°ê®õ¨½,¯Î©ú¦N,42722182,¦³­­¤½¥q,,1090413,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
¹Å¬ü¦æ,S6400945,,°ª¶¯¥«¥Ð¼d°Ï¦è¼w¨½¦è¼w¸ô¤s?«Ñ1¤§3¸¹,°ª¶¯¥«¥Ð¼d°Ï¦è¼w¨½,±d¦°¬ü,84052804,¦X¹Ù,,1091210,¥Í²£¤¤,14¤ì¦Ë»s«~»s³y·~,140¤ì¦Ë»s«~
»¨»õ¥ø·~ªÑ¥÷¦³­­¤½¥q,99665335,8.21E+12,°ª¶¯¥«´ò¤º°Ï¤Ó·Ý¨½¤¤¤s¸ô¢±¬q¢±«Ñ¢°¢¶§Ë¢°¢±¤§¢²¸¹,°ª¶¯¥«´ò¤º°Ï¤Ó·Ý¨½,§õ«H¼ý,84184925,ªÑ¥÷¦³­­¤½¥q,820922,840502,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z¡B259¨ä¥Lª÷ÄÝ»s«~
îä¼wªÑ¥÷¦³­­¤½¥q,99722405,,®ç¶é¥«Æ[­µ°Ï¼s¿³¨½¤¤¤s¸ô1¬q280«Ñ96¸¹,®ç¶é¥«Æ[­µ°Ï¼s¿³¨½,¿à©ú¼w,12600346,ªÑ¥÷¦³­­¤½¥q,,990330,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
®Ê¤É¾÷±ñ¤uµ{¦³­­¤½¥q,S6400636,,°ª¶¯¥«¤j¼d°Ï¦¿¤s¨½¦¿¤s¸ô5-7¸¹,°ª¶¯¥«¤j¼d°Ï¦¿¤s¨½,§f©ú²»,89367711,¦³­­¤½¥q,,1090914,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
¹ê¦w°ê»Ú¦³­­¤½¥q,65009951,,·s¥_¥«·s²ø°ÏºÖÀç¨½«á´ä¤@¸ô153¸¹2¼Ó,·s¥_¥«·s²ø°ÏºÖÀç¨½,¨H²M¦¿,24702213,¦³­­¤½¥q,,1101119,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
Ë¸Àu¬ì§ÞªÑ¥÷¦³­­¤½¥q,99600605,7.91E+12,·s¥_¥«¤g«°°Ï¨K«@¨½¦Û±jµó4¸¹,·s¥_¥«¤g«°°Ï¨K«@¨½,°¨±dµØ,86266274,ªÑ¥÷¦³­­¤½¥q,790921,791130,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¦N¥ú¤ù¦ÐªÑ¥÷¦³­­¤½¥q,65008515,,·s¥_¥«¤¤©M°ÏºÑªe¨½«Ø±d¸ô130¸¹4¼Ó¤§3,·s¥_¥«¤¤©M°ÏºÑªe¨½,´¿¥ò»Ê,50894264,ªÑ¥÷¦³­­¤½¥q,,1090409,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
¹d²l¬ì§ÞªÑ¥÷¦³­­¤½¥q,99703630,,»O¤¤¥«¼æ¤l°Ï®ßªL¨½²»©M¸ô35«Ñ5¸¹,»O¤¤¥«¼æ¤l°Ï®ßªL¨½,¶À¶iµo,27306855,¦³­­¤½¥q,,950530,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B259¨ä¥Lª÷ÄÝ»s«~¡B291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ
¥ß¶×¤u·~¦³­­¤½¥q¥|¼t,67002808,,»O«n¥«¤¯¼w°Ï¤¯¸q¨½¸qªL¤Q¤Gµó31¸¹,»O«n¥«¤¯¼w°Ï¤¯¸q¨½,ªL¬î¿P,97340928,¦³­­¤½¥q,,1090907,¥Í²£¤¤,33¨ä¥L»s³y·~,331¨|¼Ö¥Î«~
ºa­Z¥Íª«¬ì§Þ¦³­­¤½¥q,7004480,,¹ü¤Æ¿¤·Ë´òÂí¶ý­í¨½®üÂ×¸ô2¸¹¤§6,¹ü¤Æ¿¤·Ë´òÂí¶ý­í¨½,¬x°ê¯Ñ,54986589,¦³­­¤½¥q,,1100928,¥Í²£¤¤,18¤Æ¾Ç§÷®Æ¤ÎªÎ®Æ»s³y·~,183ªÎ®Æ¤Î´á¤Æ¦Xª«
¥@ªN¹ê·~¦³­­¤½¥q,99619221,7.61E+12,·s¥_¥«·s²ø°Ï¤Æ¦¨¨½¤Æ¦¨¸ô¥|¤T«Ñ¤@¤»¸¹,·s¥_¥«·s²ø°Ï¤Æ¦¨¨½,¶À»Ê¬w,84864676,¦³­­¤½¥q,760707,760714,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~¡B28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,284·Ó©ú³]³Æ¤Î°t³Æ¡B285®a¥Î¹q¾¹¡B293³q¥Î¾÷±ñ³]³Æ¡B251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
¤¬«Ø¯È¾¹¦³­­¤½¥q,S6400232,,°ª¶¯¥«¤¯ªZ°Ï¦Ò¼æ¨½¤¯¤ß¸ô233¸¹,°ª¶¯¥«¤¯ªZ°Ï¦Ò¼æ¨½,²øª÷Às,85849863,¦³­­¤½¥q,,1090720,¥Í²£¤¤,15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~,152¥Ë·«¯ÈªO¤Î¯È®e¾¹
³Ç­[¥§´µ°ê»Ú¦³­­¤½¥q,66009714,,»O¤¤¥«¤j¨½°Ï·ç«°¨½¤¤¿³¸ô¤@¬q2«Ñ25§Ë10¸¹,»O¤¤¥«¤j¨½°Ï·ç«°¨½,ªô¤å¹|,83044010,¦³­­¤½¥q,,1101230,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B293³q¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó
­^ÄË¦N¼w¬ì§ÞªÑ¥÷¦³­­¤½¥q,68003599,,®ç¶é¥«®ç¶é°Ï¤jªL¨½¤j¤¯¸ô50«Ñ12¸¹(2¼Ó),®ç¶é¥«®ç¶é°Ï¤jªL¨½,¾G¤å¨},54946216,ªÑ¥÷¦³­­¤½¥q,,1090821,¥Í²£¤¤,21¾ó½¦»s«~»s³y·~,210¾ó½¦»s«~
³ÇÀ·°ê»ÚªÑ¥÷¦³­­¤½¥q,13000466,,«ÌªF¿¤·s¶é¶m·s¶é§ø¶ý¯ª¸ô408¤§1¸¹,«ÌªF¿¤·s¶é¶m·s¶é§ø,§ù«aºÕ,13158382,ªÑ¥÷¦³­­¤½¥q,,1070122,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ¡B293³q¥Î¾÷±ñ³]³Æ
®i°Tºë±K¤u·~ªÑ¥÷¦³­­¤½¥q,68002576,,®ç¶é¥«¤K¼w°Ï¤j¦w¨½ªø¦wµó306¸¹(1¼Ó),®ç¶é¥«¤K¼w°Ï¤j¦w¨½,±ç¶ÇªN,42702849,ªÑ¥÷¦³­­¤½¥q,,1080314,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,271¹q¸£¤Î¨ä¶gÃä³]³Æ¡B254ª÷ÄÝ¥[¤u³B²z
ªøªä¥ø·~¦³­­¤½¥q,99629327,7.71E+12,®ç¶é¥«¤¤Ãc°Ï¤T¥Á¨½¤¤¥¿¸ô¤@¤G¤C¥|«Ñ¤G¤»¸¹,®ç¶é¥«¤¤Ãc°Ï¤T¥Á¨½,®}²M¶Q¡@¡@¡@,45085593,¦³­­¤½¥q,770806,770829,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B33¨ä¥L»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó¡B259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó¡B331¨|¼Ö¥Î«~
¦N§Q¦Ì¦å,S1300006,,«ÌªF¿¤ÆQ®H¶mÆQ¤¤§ø¥Á¿³µó71-11¸¹,«ÌªF¿¤ÆQ®H¶mÆQ¤¤§ø,ªLùÚ§Ó,99242450,¿W¸ê,,1090521,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
ÓTÑÔ¹ê·~¦³­­¤½¥q,7003596,,¹ü¤Æ¿¤¥Ã¹t¶mÙõ´ä§ø¥ÃªÀ¸ô176«Ñ23-17¸¹1¼Ó,¹ü¤Æ¿¤¥Ã¹t¶mÙõ´ä§ø,¤ý«TµM,83499285,¦³­­¤½¥q,,1090318,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
ª÷¾ç°a¾÷±ñªÑ¥÷¦³­­¤½¥q,99624748,7.81E+12,®ç¶é¥«·¨±ö°ÏÂùºa¨½¥Á±Ú¸ô¤­¬q¤@¥|¤C«Ñ¤@¤G§Ë¤G¸¹¤@¼Ó,®ç¶é¥«·¨±ö°ÏÂùºa¨½,³¯¼w·R¡@¡@¡@,84359488,ªÑ¥÷¦³­­¤½¥q,780427,780510,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B33¨ä¥L»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B331¨|¼Ö¥Î«~
¨¼øÊ¬ì§ÞªÑ¥÷¦³­­¤½¥q¤j¶é¤G¼t,3001442,,®ç¶é¥«¤j¶é°Ï¤º®ü¨½¥Á±Ú¸ô11¸¹1¼Ó,®ç¶é¥«¤j¶é°Ï¤º®ü¨½,·¨¼z¬Ã,16534712,ªÑ¥÷¦³­­¤½¥q,,1011129,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z¡B259¨ä¥Lª÷ÄÝ»s«~
­õ¦b°òÂ¦Àç³y¤uµ{¦³­­¤½¥q¤u¼t,7003989,,¹ü¤Æ¿¤¹ü¤Æ¥«ªFªÚ¨½¹ü³À¸ô78«Ñ1§Ë5¸¹1¼Ó,¹ü¤Æ¿¤¹ü¤Æ¥«ªFªÚ¨½,§d¸t¤Ã,65956908,¦³­­¤½¥q,,1091214,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó¡B254ª÷ÄÝ¥[¤u³B²z
ª÷¸U¸Û¦³­­¤½¥q,99665226,,°ª¶¯¥«¸ô¦Ë°Ï¦ËªF¨½¤j¤¯¸ô¢·¢·¢¶¸¹,°ª¶¯¥«¸ô¦Ë°Ï¦ËªF¨½,¸­«ä§±,79964112,¦³­­¤½¥q,,910621,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¥Ã¶Ç¹}®Æ¼t,S0900186,,¶³ªL¿¤ªê§ÀÂí¦è¤Ù¨½¤j¤Ù300-3¸¹,¶³ªL¿¤ªê§ÀÂí¦è¤Ù¨½,©P¬ü²D,77546057,¿W¸ê,,1090601,¥Í²£¤¤,08­¹«~»s³y·~,087°Êª«¹}«~
´I©ý¤u·~¦³­­¤½¥q,99640532,,»O¤¤¥«¤Ó¥­°Ï¤Ó¥­¨½¥Ã¸q¸ô¤G¤T¤­«Ñ¤G¤»¸¹,»O¤¤¥«¤Ó¥­°Ï¤Ó¥­¨½,§d§µ©ú,27470617,¦³­­¤½¥q,,920121,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó
Åã¹ü¥ø·~¦³­­¤½¥q¤G¼t,S0700445,,¹ü¤Æ¿¤³À´äÂí¹ù­í¨½¹ù­í«Ñ4-15¸¹,¹ü¤Æ¿¤³À´äÂí¹ù­í¨½,³¯²M¤¸,84354195,¦³­­¤½¥q,,1090529,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
©M¬Õºë±K¦³­­¤½¥q,64007390,,°ª¶¯¥«¸ô¦Ë°ÏªÀ«n¨½¤j¦P¸ô503¸¹1¼Ó,°ª¶¯¥«¸ô¦Ë°ÏªÀ«n¨½,Á§²E¤è,28640674,¦³­­¤½¥q,,1041022,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
